UUID,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,SUBTAGS,COMMENTS
a42cf41b-48c3-4bde-8a14-7d90ae57f87c,Τάναϊν,char-offset:1324,PLACE,http://pleiades.stoa.org/places/59844,Iaxartes/Silis/Tanais fl.,45.7077742,63.5889496,river,VERIFIED,natural feature|water mass|river,,
ea1cded9-e22c-4917-bb67-c9aba4209e75,Τάναϊν ποταμόν,char-offset:1324,PLACE,,,,,,UNVERIFIED,,,
af70f374-5fa9-4a4c-a0e7-35c48f937df3,ἤπειροι,char-offset:1355,PLACE,,,,,,UNVERIFIED,concept|continent,,Category referred to the following toponyms
5057d585-2910-4cd2-be6f-a7bafb64bee9,Ἀσία,char-offset:1396,PLACE,http://pleiades.stoa.org/places/981509,Asia,37.5,27.5,province,VERIFIED,concept|continent,,
56c6eb95-ef2e-42b9-85d9-a7bdd2928902,τοῖς ἀπ’ Εὐρώπης ἀπιοῦσι,char-offset:1424,EVENT,,,,,,,direction,relative,
d5c194d0-8321-4038-b99e-35580101e160,Εὐρώπης,char-offset:1433,PLACE,http://pleiades.stoa.org/places/536074,Europe,,,unlocated,VERIFIED,concept|continent,,
873697bd-d61e-4175-97e1-b086e5ae4af4,Εὔβοια,char-offset:1489,PLACE,http://pleiades.stoa.org/places/540775,"Euboea (island)|Euboea Ins., Euboia",38.53,23.87,island,VERIFIED,natural feature|island,,
b6822c01-47dd-4711-bf3a-e90b2f7e19e8,Ἄνδρος,char-offset:1496,PLACE,http://pleiades.stoa.org/places/589693,"Andros (island)|Andros Ins., Andros",37.8528,24.86222,island,VERIFIED,natural feature|island,,
033f4ef8-16d4-4f19-86cd-90b74d6dbe65,Τῆνος,char-offset:1503,PLACE,http://pleiades.stoa.org/places/590074,"Exomvourgo|Tenos (island)|Tenos Ins., Tinos",37.577564,25.167742,island,VERIFIED,natural feature|island,,
2c5a83b5-0716-44e2-a829-08f4a955b7f9,Μύκονος,char-offset:1509,PLACE,http://pleiades.stoa.org/places/599808,"Mykonos (island)|Mykonos Ins., Mykonos",37.43281,25.36058,island,VERIFIED,natural feature|island,,
fe1a12a8-8cd0-4879-ba47-b7896187f95f,Ἰκαρία,char-offset:1517,PLACE,http://pleiades.stoa.org/places/599667,Ikaros (island),37.6305806,26.0732143,island,VERIFIED,natural feature|island,,
648df89b-76fd-4c29-990f-2d3abdea9276,Σάμος,char-offset:1524,PLACE,http://pleiades.stoa.org/places/599926,"Samos (island)|Samos Ins., Samos",37.73,26.84,island,VERIFIED,natural feature|island,,
72d157b7-f033-4bbe-bcea-fd3f0cc202cb,Μυκάλη,char-offset:1530,PLACE,http://pleiades.stoa.org/places/599805,"Mycale M.|Mycale Mons, Samsun Dağ",37.66144,27.12558,mountain,VERIFIED,natural feature|island,,
cb7f9c96-858d-4619-960d-a2662699e907,Εὐρώπη,char-offset:1543,PLACE,http://pleiades.stoa.org/places/536074,Europe,,,unlocated,VERIFIED,concept|continent,,
ab8507fe-de32-46ce-916a-ff468093dc72,Λιβύη,char-offset:1575,PLACE,http://pleiades.stoa.org/places/716588,Libya,31.5,26.5,region,VERIFIED,concept|continent,,
4abbfbf3-0887-4647-b9fc-7f392703856e,Ἑλλήνων,char-offset:1588,PERSON,,,,,,,,,
1742aa4c-c88e-4904-bf23-eb9ece61296c,Φοίνικες,char-offset:1637,PLACE,,,,,,NOT_IDENTIFIABLE,,,
efcf472e-d4b2-4b84-b770-be266c76e275,ὠκεανὸς,char-offset:1668,PLACE,,,,,,UNVERIFIED,concept|water mass|ocean,,
70a1670b-440a-4408-84c8-239628f85745,Δικαίαρχος,char-offset:1716,PERSON,,,,,,,,,
3d63d292-8763-46bf-8598-ae7022f88cd7,Στηλῶν,char-offset:1785,PLACE,http://pleiades.stoa.org/places/275614,Columnae Herculis,35.9358335,-5.384583,cape,VERIFIED,,,
c1731534-9479-4991-a06d-d160f3a31a1a,Σαρδοῦς,char-offset:1796,PLACE,http://pleiades.stoa.org/places/981548,Sardinia et Corsica,37.5,7.5,province,VERIFIED,natural feature|island,,
