Event string,Formalized reconstruction,Passage (CTS URN),Locus ,Type,Absolute/Relative
"ἀπὸ δὲ Μυριάνδρου ἐπὶ Γάδειρα σταδίων δισμυρίων
ˏϛωκ",[VB εἶναι] + ADP ἀπό + ADP ἐπί + GEN.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.16,4.16,extent,absolute
"ὁ διάπλους ἐπὶ Γάδειρα
(διὰ τῶν πανδοκίων) στάδια ξ",[VB εἶναι] + ADP ἐπί + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.16,4.16,extent,absolute
"ἀπὸ Γάγγου εἰς Γάδειρα  σταδίων
μυριάδες ἑπτὰ καὶ ˏαφξ",[VB εἶναι] + ADP ἀπό + ADP εἰς + ACC.mes.,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.17,4.17,extent,absolute
"Πλάτος δὲ τῆς οἰκουμένης ἀπὸ τῆς
Αἰθιοπικῆς θαλάσσης ἐπὶ Μερόην σταδίων ˏε",[VB εἶναι] + ADP ἀπό + ADP ἐπί + GEN.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.18,4.18,extent,absolute
"ἀπὸ  Ἀλεξανδρείας ἕως Τανάιδος σταδίων μυρίων
ˏηχϟ",[VB εἶναι] + ADP ἀπό + ADP ἕως + GEN.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.18,4.18,extent,absolute
"Γάδειρα μῆκος σταδίων ρκ, πλάτος σταδίων ιϛ",[VB εἶναι] + ACC.resp. + GEN.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:5.20,5.20,extent,absolute
"ὁ δὲ (καθ’ ῾Ηρακλείους
στήλας) πορθμὸς στενότατός ἐστι σταδίων  π",VB εἶναι + GEN.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:5.20,5.20,extent,absolute
ἡ μείζων καὶ οἰκουμένη σταδίων τ μῆκος,[VB εἶναι] + GEN.mes. + ACC.resp.,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:5.20,5.20,extent,absolute
ἡ δὲ ἐλάττων σταδίων ρ,[VB εἶναι] + GEN.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:5.20,5.20,extent,absolute
"ἡ μείζων
μῆκος σταδίων ˏασ, πλάτος σταδίων υ",[VB εἶναι] + GEN.mes. + ACC.resp.,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:5.20,5.20,extent,absolute
ἡ ἐλάττων σταδίων  τ,[VB εἶναι] + GEN.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:5.20,5.20,extent,absolute
ἡ δὲ Σαρδὼ ἔχει ...τὸ μῆκος ˏβσ,VB ἔχειν + GEN.mes. + ACC.resp.,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:5.20,5.20,extent,absolute
τῆς Σιλεκίας ... περίμετρος σταδίων ˏδψμ,[VB εἶναι] + GEN.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:5.20,5.20,extent,absolute
